View,Model,Loss,Acc,macro F1,Kappa,Time
Top,ResNet50,0.0568 ± 0.0018,0.9348 ± 0.0125,0.8579 ± 0.0399,0.9093 ± 0.0175,0.0060 ± 0.0007
Top,ViT,0.0577 ± 0.0013,0.9368 ± 0.0050,0.8667 ± 0.0259,0.9124 ± 0.0066,0.0056 ± 0.0002
Top,HCTNet,0.0562 ± 0.0016,0.9476 ± 0.0068,0.8872 ± 0.0264,0.9273 ± 0.0096,0.0120 ± 0.0007
Top,MidNet,0.0561 ± 0.0016,0.9426 ± 0.0063,0.8633 ± 0.0535,0.9204 ± 0.0090,0.0128 ± 0.0008
Side,ResNet50,0.0571 ± 0.0013,0.9388 ± 0.0088,0.8829 ± 0.0425,0.9149 ± 0.0124,0.0062 ± 0.0007
Side,ViT,0.0578 ± 0.0014,0.9319 ± 0.0072,0.8702 ± 0.0561,0.9056 ± 0.0101,0.0055 ± 0.0001
Side,HCTNet,0.0566 ± 0.0018,0.9391 ± 0.0101,0.8628 ± 0.0440,0.9156 ± 0.0142,0.0120 ± 0.0008
Side,MidNet,0.0558 ± 0.0013,0.9470 ± 0.0089,0.8967 ± 0.0340,0.9265 ± 0.0125,0.0127 ± 0.0008
Fusion,ResNet50,0.0553 ± 0.0015,0.9496 ± 0.0065,0.8996 ± 0.0272,0.9300 ± 0.0092,0.0124 ± 0.0008
Fusion,ViT,0.0560 ± 0.0014,0.9438 ± 0.0088,0.8758 ± 0.0506,0.9221 ± 0.0122,0.0107 ± 0.0003
Fusion,HCTNet,0.0554 ± 0.0009,0.9464 ± 0.0066,0.8827 ± 0.0184,0.9255 ± 0.0092,0.0244 ± 0.0017
